algorithm,pages,page_count,repetition,payload_characters,payload_bits,serialized_data_bits,codeword_bits,redundancy_bits,overhead_percentage,configured_error_probability_percent,effective_error_probability_percent,configured_average_flips,actual_flips,round_trip_nanoseconds,round_trip_milliseconds,recovered_message_matches,status
CRC32,13,1,1,543,4344,4496,4528,32,0.7117437722419928,0.0,0.0,0,0,4713667,4.713667,True,CLEAN
CRC32,13,1,2,543,4344,4496,4528,32,0.7117437722419928,0.0,0.0,0,0,4604000,4.604,True,CLEAN
CRC32,13,1,3,543,4344,4496,4528,32,0.7117437722419928,0.0,0.0,0,0,4397875,4.397875,True,CLEAN
CRC32,13,1,4,543,4344,4496,4528,32,0.7117437722419928,0.0,0.0,0,0,4388750,4.38875,True,CLEAN
CRC32,13,1,5,543,4344,4496,4528,32,0.7117437722419928,0.0,0.0,0,0,4504250,4.50425,True,CLEAN
CRC32,13,1,6,543,4344,4496,4528,32,0.7117437722419928,0.0,0.0,0,0,4445417,4.445417,True,CLEAN
CRC32,13,1,7,543,4344,4496,4528,32,0.7117437722419928,0.0,0.0,0,0,4576125,4.576125,True,CLEAN
CRC32,13,1,8,543,4344,4496,4528,32,0.7117437722419928,0.0,0.0,0,0,4382375,4.382375,True,CLEAN
CRC32,13,1,9,543,4344,4496,4528,32,0.7117437722419928,0.0,0.0,0,0,4388375,4.388375,True,CLEAN
CRC32,13,1,10,543,4344,4496,4528,32,0.7117437722419928,0.0,0.0,0,0,4451375,4.451375,True,CLEAN
CRC32,13,1,11,543,4344,4496,4528,32,0.7117437722419928,0.0,0.0,0,0,4405459,4.405459,True,CLEAN
CRC32,13,1,12,543,4344,4496,4528,32,0.7117437722419928,0.0,0.0,0,0,4477625,4.477625,True,CLEAN
CRC32,13,1,13,543,4344,4496,4528,32,0.7117437722419928,0.0,0.0,0,0,4343750,4.34375,True,CLEAN
CRC32,13,1,14,543,4344,4496,4528,32,0.7117437722419928,0.0,0.0,0,0,4535625,4.535625,True,CLEAN
CRC32,13,1,15,543,4344,4496,4528,32,0.7117437722419928,0.0,0.0,0,0,4499958,4.499958,True,CLEAN
CRC32,13,1,16,543,4344,4496,4528,32,0.7117437722419928,0.0,0.0,0,0,4432166,4.432166,True,CLEAN
CRC32,13,1,17,543,4344,4496,4528,32,0.7117437722419928,0.0,0.0,0,0,4499750,4.49975,True,CLEAN
CRC32,13,1,18,543,4344,4496,4528,32,0.7117437722419928,0.0,0.0,0,0,4406458,4.406458,True,CLEAN
CRC32,13,1,19,543,4344,4496,4528,32,0.7117437722419928,0.0,0.0,0,0,4474083,4.474083,True,CLEAN
CRC32,13,1,20,543,4344,4496,4528,32,0.7117437722419928,0.0,0.0,0,0,4407334,4.407334,True,CLEAN
CRC32,13,1,21,543,4344,4496,4528,32,0.7117437722419928,0.0,0.0,0,0,4361042,4.361042,True,CLEAN
CRC32,13,1,22,543,4344,4496,4528,32,0.7117437722419928,0.0,0.0,0,0,4405875,4.405875,True,CLEAN
CRC32,13,1,23,543,4344,4496,4528,32,0.7117437722419928,0.0,0.0,0,0,4366958,4.366958,True,CLEAN
