algorithm,pages,page_count,repetition,payload_characters,payload_bits,serialized_data_bits,codeword_bits,redundancy_bits,overhead_percentage,configured_error_probability_percent,effective_error_probability_percent,configured_average_flips,actual_flips,round_trip_nanoseconds,round_trip_milliseconds,recovered_message_matches,status
HAMMING,13,1,1,543,4344,4496,6744,2248,50.0,0.0,0.0,0,0,3238459,3.238459,True,CLEAN
HAMMING,13,1,2,543,4344,4496,6744,2248,50.0,0.0,0.0,0,0,3221375,3.221375,True,CLEAN
HAMMING,13,1,3,543,4344,4496,6744,2248,50.0,0.0,0.0,0,0,3268833,3.268833,True,CLEAN
HAMMING,13,1,4,543,4344,4496,6744,2248,50.0,0.0,0.0,0,0,3261041,3.261041,True,CLEAN
HAMMING,13,1,5,543,4344,4496,6744,2248,50.0,0.0,0.0,0,0,3105833,3.105833,True,CLEAN
HAMMING,13,1,6,543,4344,4496,6744,2248,50.0,0.0,0.0,0,0,3173250,3.17325,True,CLEAN
HAMMING,13,1,7,543,4344,4496,6744,2248,50.0,0.0,0.0,0,0,3104292,3.104292,True,CLEAN
HAMMING,13,1,8,543,4344,4496,6744,2248,50.0,0.0,0.0,0,0,2993916,2.993916,True,CLEAN
HAMMING,13,1,9,543,4344,4496,6744,2248,50.0,0.0,0.0,0,0,2897625,2.897625,True,CLEAN
HAMMING,13,1,10,543,4344,4496,6744,2248,50.0,0.0,0.0,0,0,2792500,2.7925,True,CLEAN
HAMMING,13,1,11,543,4344,4496,6744,2248,50.0,0.0,0.0,0,0,2827166,2.827166,True,CLEAN
HAMMING,13,1,12,543,4344,4496,6744,2248,50.0,0.0,0.0,0,0,2831083,2.831083,True,CLEAN
HAMMING,13,1,13,543,4344,4496,6744,2248,50.0,0.0,0.0,0,0,2769750,2.76975,True,CLEAN
HAMMING,13,1,14,543,4344,4496,6744,2248,50.0,0.0,0.0,0,0,2744291,2.744291,True,CLEAN
HAMMING,13,1,15,543,4344,4496,6744,2248,50.0,0.0,0.0,0,0,2717584,2.717584,True,CLEAN
HAMMING,13,1,16,543,4344,4496,6744,2248,50.0,0.0,0.0,0,0,2743292,2.743292,True,CLEAN
HAMMING,13,1,17,543,4344,4496,6744,2248,50.0,0.0,0.0,0,0,2782083,2.782083,True,CLEAN
HAMMING,13,1,18,543,4344,4496,6744,2248,50.0,0.0,0.0,0,0,2782375,2.782375,True,CLEAN
HAMMING,13,1,19,543,4344,4496,6744,2248,50.0,0.0,0.0,0,0,2866333,2.866333,True,CLEAN
HAMMING,13,1,20,543,4344,4496,6744,2248,50.0,0.0,0.0,0,0,2768875,2.768875,True,CLEAN
HAMMING,13,1,21,543,4344,4496,6744,2248,50.0,0.0,0.0,0,0,2784750,2.78475,True,CLEAN
HAMMING,13,1,22,543,4344,4496,6744,2248,50.0,0.0,0.0,0,0,2765792,2.765792,True,CLEAN
HAMMING,13,1,23,543,4344,4496,6744,2248,50.0,0.0,0.0,0,0,2779625,2.779625,True,CLEAN
HAMMING,13,1,24,543,4344,4496,6744,2248,50.0,0.0,0.0,0,0,2798625,2.798625,True,CLEAN
HAMMING,13,1,25,543,4344,4496,6744,2248,50.0,0.0,0.0,0,0,2807959,2.807959,True,CLEAN
HAMMING,13,1,26,543,4344,4496,6744,2248,50.0,0.0,0.0,0,0,2777708,2.777708,True,CLEAN
HAMMING,13,1,27,543,4344,4496,6744,2248,50.0,0.0,0.0,0,0,2774125,2.774125,True,CLEAN
HAMMING,13,1,28,543,4344,4496,6744,2248,50.0,0.0,0.0,0,0,2779334,2.779334,True,CLEAN
HAMMING,13,1,29,543,4344,4496,6744,2248,50.0,0.0,0.0,0,0,2777000,2.777,True,CLEAN
HAMMING,13,1,30,543,4344,4496,6744,2248,50.0,0.0,0.0,0,0,2770458,2.770458,True,CLEAN
HAMMING,13,1,31,543,4344,4496,6744,2248,50.0,0.0,0.0,0,0,2729583,2.729583,True,CLEAN
HAMMING,13,1,32,543,4344,4496,6744,2248,50.0,0.0,0.0,0,0,2773750,2.77375,True,CLEAN
HAMMING,13,1,33,543,4344,4496,6744,2248,50.0,0.0,0.0,0,0,2678542,2.678542,True,CLEAN
HAMMING,13,1,34,543,4344,4496,6744,2248,50.0,0.0,0.0,0,0,2705625,2.705625,True,CLEAN
HAMMING,13,1,35,543,4344,4496,6744,2248,50.0,0.0,0.0,0,0,2712792,2.712792,True,CLEAN
HAMMING,13,1,36,543,4344,4496,6744,2248,50.0,0.0,0.0,0,0,2655667,2.655667,True,CLEAN
HAMMING,13,1,37,543,4344,4496,6744,2248,50.0,0.0,0.0,0,0,2669250,2.66925,True,CLEAN
HAMMING,13,1,38,543,4344,4496,6744,2248,50.0,0.0,0.0,0,0,2657333,2.657333,True,CLEAN
HAMMING,13,1,39,543,4344,4496,6744,2248,50.0,0.0,0.0,0,0,2627416,2.627416,True,CLEAN
HAMMING,13,1,40,543,4344,4496,6744,2248,50.0,0.0,0.0,0,0,2633125,2.633125,True,CLEAN
HAMMING,13,1,41,543,4344,4496,6744,2248,50.0,0.0,0.0,0,0,2512667,2.512667,True,CLEAN
HAMMING,13,1,42,543,4344,4496,6744,2248,50.0,0.0,0.0,0,0,2502750,2.50275,True,CLEAN
HAMMING,13,1,43,543,4344,4496,6744,2248,50.0,0.0,0.0,0,0,2558833,2.558833,True,CLEAN
HAMMING,13,1,44,543,4344,4496,6744,2248,50.0,0.0,0.0,0,0,2555000,2.555,True,CLEAN
HAMMING,13,1,45,543,4344,4496,6744,2248,50.0,0.0,0.0,0,0,2560958,2.560958,True,CLEAN
HAMMING,13,1,46,543,4344,4496,6744,2248,50.0,0.0,0.0,0,0,2570417,2.570417,True,CLEAN
HAMMING,13,1,47,543,4344,4496,6744,2248,50.0,0.0,0.0,0,0,2567666,2.567666,True,CLEAN
HAMMING,13,1,48,543,4344,4496,6744,2248,50.0,0.0,0.0,0,0,2608458,2.608458,True,CLEAN
HAMMING,13,1,49,543,4344,4496,6744,2248,50.0,0.0,0.0,0,0,2628167,2.628167,True,CLEAN
HAMMING,13,1,50,543,4344,4496,6744,2248,50.0,0.0,0.0,0,0,2590416,2.590416,True,CLEAN
HAMMING,13,1,51,543,4344,4496,6744,2248,50.0,0.0,0.0,0,0,2561208,2.561208,True,CLEAN
HAMMING,13,1,52,543,4344,4496,6744,2248,50.0,0.0,0.0,0,0,2580250,2.58025,True,CLEAN
HAMMING,13,1,53,543,4344,4496,6744,2248,50.0,0.0,0.0,0,0,2624167,2.624167,True,CLEAN
HAMMING,13,1,54,543,4344,4496,6744,2248,50.0,0.0,0.0,0,0,2587666,2.587666,True,CLEAN
HAMMING,13,1,55,543,4344,4496,6744,2248,50.0,0.0,0.0,0,0,2519959,2.519959,True,CLEAN
HAMMING,13,1,56,543,4344,4496,6744,2248,50.0,0.0,0.0,0,0,2484458,2.484458,True,CLEAN
HAMMING,13,1,57,543,4344,4496,6744,2248,50.0,0.0,0.0,0,0,2513416,2.513416,True,CLEAN
HAMMING,13,1,58,543,4344,4496,6744,2248,50.0,0.0,0.0,0,0,2601292,2.601292,True,CLEAN
HAMMING,13,1,59,543,4344,4496,6744,2248,50.0,0.0,0.0,0,0,2492042,2.492042,True,CLEAN
HAMMING,13,1,60,543,4344,4496,6744,2248,50.0,0.0,0.0,0,0,2559125,2.559125,True,CLEAN
HAMMING,13,1,61,543,4344,4496,6744,2248,50.0,0.0,0.0,0,0,2592875,2.592875,True,CLEAN
HAMMING,13,1,62,543,4344,4496,6744,2248,50.0,0.0,0.0,0,0,2524417,2.524417,True,CLEAN
